date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-05-26,0.5804974820692812,0.21424815983175605,0.013195777351247601,0.16363636363636364
2023-05-27,0.5678069639584606,0.22592791823561054,0.03076923076923077,0.4296875
2023-05-28,0.5628048780487804,0.2524377031419285,0.05313777350324597,0.47058823529411764
2023-05-29,0.5632429137458093,0.2564935064935065,0.08100961538461539,0.3560830860534125
2023-05-30,0.6107638359506022,0.2561158262606091,0.15464666021297194,0.31768388106416273
2023-05-31,0.6274031126029905,0.2619163424124514,0.20918984280532044,0.24971098265895952
2023-06-01,0.5745721271393643,0.29175531914893615,0.18046198267564967,0.188
2023-06-02,0.6271472392638037,0.30423086329175836,0.1478702807357212,0.24222585924713586
2023-06-03,0.6269938650306749,0.3138454011741683,0.0946078431372549,0.3290155440414508
2023-06-04,0.6089368258859784,0.30035425101214575,0.13382533825338253,0.31433823529411764
2023-06-05,0.6044718581341557,0.32857142857142857,0.13641960108347698,0.3592057761732852
2023-06-06,0.5706118665018541,0.3517465475223396,0.150390625,0.38636363636363635
2023-06-07,0.5383186251741756,0.3730227207362669,0.14946445959104188,0.3729641693811075
2023-06-08,0.5065727699530517,0.36947791164658633,0.10454985479186835,0.43287037037037035
2023-06-09,0.47393958365941463,0.3748348745046235,0.1402116402116402,0.3481989708404803
2023-06-10,0.47849882720875686,0.37287581699346406,0.11956782713085234,0.30120481927710846
2023-06-11,0.4648529643025633,0.34438430311231394,0.11332055582175371,0.3023255813953488
2023-06-12,0.3432183549243015,0.351068667576171,0.16457528957528958,0.3592375366568915
2023-06-13,0.29689191278800064,0.3145833333333333,0.15136298421807748,0.34755134281200634
2023-06-14,0.18738433066008636,0.2814814814814815,0.18279827503593676,0.3656618610747051
2023-06-15,0.1590594744121715,0.30531400966183575,0.2010556621880998,0.3568019093078759
2023-06-16,0.1930336044192113,0.23767885532591415,0.21540312876052947,0.3407821229050279
2023-06-17,0.18749041851908632,0.2436631234668847,0.18091787439613527,0.41255006675567424
2023-06-18,0.17841814837522993,0.23969072164948454,0.17013639626704954,0.3234880450070324
2023-06-19,0.22484300811762903,0.2826975476839237,0.18766562274150808,0.3247753530166881
2023-06-20,0.3103448275862069,0.2380246913580247,0.21667871776331646,0.29810901001112344
2023-06-21,0.3210292540971052,0.26908396946564883,0.16940948693126814,0.3271428571428571
2023-06-22,0.2842896594047254,0.30329195898542904,0.11960784313725491,0.3729508196721312
2023-06-23,0.34228702993092863,0.3076233183856502,0.11458333333333333,0.3594080338266385
2023-06-24,0.3318495778971604,0.28769657724329323,0.12964311726147124,0.2940074906367041
2023-06-25,0.2744285933425372,0.24650642817216323,0.10900814566363201,0.23736263736263735
2023-06-26,0.24609494640122512,0.1997510889856876,0.16547106647537063,0.1907514450867052
2023-06-27,0.21613347619776518,0.1671388101983003,0.20249221183800623,0.09467455621301775
2023-06-28,0.25636724111636416,0.14455681142177276,0.280561607358993,0.14926660914581535
2023-06-29,0.2297872340425532,0.19378306878306878,0.4513447432762836,0.14409534127843987
2023-06-30,0.1893985419198056,0.2285485164394547,0.45416564266404524,0.15476190476190477
2023-07-01,0.21309234507897934,0.21881682109764788,0.31014063656550706,0.22593476531424025
2023-07-02,0.22514530437442642,0.2296195652173913,0.27705521472392636,0.283436669619132
2023-07-03,0.18685015290519877,0.2995090016366612,0.24229516411926835,0.34643226473629785
2023-07-04,0.1738532110091743,0.37906772207563766,0.19776309100152517,0.32904884318766064
2023-07-05,0.11400701112635268,0.3449197860962567,0.18998451213216314,0.3233695652173913
2023-07-06,0.03544804503270957,0.6394849785407726,0.15349194167306215,0.26
2023-07-07,0.031349870643737635,0.5631067961165048,0.0995788952192222,0.2835820895522388
2023-07-08,0.02485513876181763,0.6687116564417178,0.09510936347997051,0.2454780361757106
2023-07-09,0.031392868028040234,0.4563106796116505,0.09835663478047584,0.3192019950124688
2023-07-10,0.05503602636823547,0.415041782729805,0.20861008610086101,0.294811320754717
2023-07-11,0.07460171568627451,0.3593429158110883,0.24062729723107082,0.225050916496945
2023-07-12,0.09754235994504656,0.460093896713615,0.22956436612824277,0.2505330490405117
2023-07-13,0.14473483111722452,0.3843717001055966,0.2146558105107328,0.2620689655172414
2023-07-14,0.1886676875957121,0.3198051948051948,0.17484060814124572,0.2314165497896213
2023-07-15,0.20162651526776124,0.3013698630136986,0.2389144657135934,0.20486815415821502
2023-07-16,0.21694499770185383,0.268361581920904,0.10603864734299517,0.14578587699316628
2023-07-17,0.20798028038822985,0.2362962962962963,0.037403474903474905,0.12258064516129032
2023-07-18,0.16379575515226083,0.292018779342723,0.019985552612569228,0.10843373493975904
2023-07-19,0.11128118781570488,0.3920220082530949,0.015785697201626404,0.13636363636363635
2023-07-20,0.07005494505494506,0.485838779956427,0.01862464183381089,0.10256410256410256
2023-07-21,0.0785986290936786,0.40310077519379844,0.013371537726838587,0.0
2023-07-22,0.05557242635894321,0.587431693989071,0.011761881901104177,0.061224489795918366
2023-07-23,0.06322013341419042,0.5347721822541966,0.010098581389757152,0.023809523809523808
2023-07-24,0.07366818873668189,0.4194214876033058,0.020216606498194945,0.05952380952380952
2023-07-25,0.13082683784196852,0.3177570093457944,0.04174710424710425,0.1907514450867052
2023-07-26,0.218969197926197,0.23050139275766016,0.11331719128329298,0.1282051282051282
2023-07-27,0.22711240607268823,0.2012153950033761,0.06147540983606557,0.08235294117647059
2023-07-28,0.2527539779681763,0.2257869249394673,0.11979670861568248,0.09090909090909091
2023-07-29,0.2380218764443075,0.30097087378640774,0.0851063829787234,0.09659090909090909
2023-07-30,0.24613737188312682,0.3113735239279055,0.018011527377521614,0.04
2023-07-31,0.1938353013341512,0.4050632911392405,0.007661000718218817,0.0
2023-08-01,0.18994498777506114,0.47224456958970235,0.0314374850011999,0.17557251908396945
2023-08-02,0.2577654149281409,0.36810551558752996,0.040517861424118916,0.1242603550295858
2023-08-03,0.25792551554324405,0.30906921241050117,0.07074340527577938,0.10508474576271186
2023-08-04,0.2242303568693521,0.30601092896174864,0.09182450251738192,0.10704960835509138
2023-08-05,0.19049075064974774,0.3274478330658106,0.05890804597701149,0.08130081300813008
2023-08-06,0.13302752293577982,0.3701149425287356,0.06409949772781631,0.029850746268656716
2023-08-07,0.10578689528475199,0.38929088277858176,0.05239234449760766,0.0319634703196347
2023-08-08,0.07219827586206896,0.6204690831556503,0.10998307952622674,0.15384615384615385
2023-08-09,0.1392697581266369,0.4413716814159292,0.12251734864800191,0.203125
2023-08-10,0.22582647834859537,0.41786941580756015,0.15863066538090645,0.1276595744680851
2023-08-11,0.21647893843542662,0.4654312188168211,0.12271414821944177,0.1450980392156863
2023-08-12,0.24751552795031057,0.5696361355081556,0.13370406189555126,0.09584086799276673
2023-08-13,0.2925042854916628,0.5194459243473628,0.17506053268765134,0.09405255878284924
2023-08-14,0.29569139835122105,0.5034192530247238,0.1846748851824994,0.0824607329842932
2023-08-15,0.30124416796267495,0.4734124935467217,0.15449505905037358,0.12324492979719189
2023-08-16,0.4574780058651026,0.4375843454790823,0.12,0.14171656686626746
2023-08-17,0.47472426470588236,0.43691513391416587,0.1037037037037037,0.18433179723502305
2023-08-18,0.4219776860767232,0.43969576240492575,0.21698564593301436,0.10915104740904079
2023-08-19,0.5186272994280414,0.3976154992548435,0.19230769230769232,0.12173913043478261
2023-08-20,0.6232356134636265,0.3782976605276257,0.2085625448457307,0.10665137614678899
2023-08-21,0.6198656879587693,0.3882590073066264,0.08217537134643028,0.19825072886297376
