platform_number,cycle_number,latitude,longitude,date,n_levels,temp_0m,temp_5m,temp_10m,temp_20m,temp_30m,temp_50m,temp_75m,temp_100m,temp_125m,temp_150m,temp_200m,temp_300m,temp_500m,temp_700m,temp_1000m
6903046,114,20.317915,61.438813333333336,2021-12-19 00:00:00+00:00,1006,,25.423,25.4214,25.421,25.38,25.370083333333334,22.171333333333333,20.9374,19.685733333333335,19.288400000000003,17.748285714285714,15.313363636363636,12.630272727272727,10.857454545454546,8.3834375
6903058,114,20.742185,60.03166,2021-12-19 00:00:00+00:00,587,,25.39483333333333,25.412333333333333,25.412384615384617,25.404,25.382833333333334,23.34657142857143,22.31757142857143,21.4662,21.256,19.88153846153846,17.720200000000002,13.473,11.7633,
6903062,114,20.116983333333334,58.92852166666667,2021-12-19 00:00:00+00:00,578,,25.659,25.657,25.655444444444445,25.66,25.782545454545456,25.56392307692308,23.258181818181818,22.773642857142857,22.064,19.662,17.124666666666666,13.363857142857142,11.379999999999999,
6903063,114,25.087233333333334,57.921933333333335,2021-12-19 00:00:00+00:00,579,,25.89592307692308,25.722,25.62709090909091,25.593,25.584818181818182,25.1565,23.054666666666666,22.169363636363638,21.475181818181817,23.3966,19.018,14.3334,11.719000000000001,
2902270,106,15.276852,65.986084,2021-12-20 00:00:00+00:00,994,,26.99271186440678,26.989518226600985,27.001094029850748,26.991817560975612,24.45338118811881,22.6503,20.956698009950248,18.5579255,17.6746,15.310580693069307,13.059070873786409,11.808672277227723,10.749473869346733,8.566687
2902271,97,16.343466,66.035606,2021-12-20 00:00:00+00:00,997,,27.105398522167487,27.1055,27.11,27.116603482587063,24.59798208955224,22.363836764705884,19.844345049504952,18.01170909090909,16.93159253731343,15.6272,14.37805223880597,12.133582758620689,10.805,8.789315841584159
2902272,97,18.476231,65.823105,2021-12-20 00:00:00+00:00,993,,26.62332721893491,26.593,26.583635467980297,26.5824985,26.577,23.654276381909547,22.496369306930692,20.455929556650247,18.847,16.939241919191918,15.089939408866995,12.721537623762377,11.067746798029557,8.958223
2902294,150,6.507524,91.630058,2021-12-20 00:00:00+00:00,973,,,,,,,27.652789473684212,25.96744897959184,19.08871153846154,17.005030000000005,14.58378640776699,12.50011616161616,10.073945,8.600238805970148,6.600098039215686
2902758,61,16.712,90.343,2021-12-20 00:00:00+00:00,112,,,28.2756,28.37481818181818,28.38331034482759,28.56158139534884,26.882512195121954,25.892045454545453,23.885732142857144,19.8795,15.44788,11.863785714285715,10.079209523809524,8.62036,6.761875
2902768,69,14.453,88.778,2021-12-20 00:00:00+00:00,102,,28.415071428571427,28.415,28.41268,28.411453608247424,28.37547191011236,25.621270000000003,22.586252427184466,20.40911320754717,17.77821875,14.10029239766082,11.624307086614174,9.788225806451614,8.431333333333333,6.720099585062241
2902770,68,13.836,89.108,2021-12-20 00:00:00+00:00,101,,28.446454545454547,28.44090909090909,28.43481818181818,28.430460784313727,28.273777777777777,25.299896907216496,22.356642201834863,19.564,17.699339805825243,14.388035087719299,11.8301185770751,9.931607142857143,8.643573122529645,6.719011904761905
2902772,68,13.244,88.934,2021-12-20 00:00:00+00:00,102,,28.52711111111111,28.525122807017542,28.510181818181817,28.50447572815534,28.168268041237113,24.91120792079208,20.94018556701031,18.86164705882353,17.081069306930694,14.33051479289941,11.75398023715415,10.016566929133859,8.607268292682928,6.844666666666666
6902947,340,9.1157,63.941228333333335,2021-12-20 00:00:00+00:00,478,,27.9072,27.904,27.804,27.76825,25.040363636363637,20.75190909090909,19.734333333333332,18.758222222222223,16.619,14.165090909090909,12.621681818181818,11.012684210526315,9.467217391304347,
6903007,115,19.66901333333333,60.317165,2021-12-20 00:00:00+00:00,1000,,25.447,25.445933333333336,25.4415,25.4265,25.4526,23.072833333333335,22.277,20.166400000000003,20.496199999999998,19.566000000000003,15.404928571428568,13.058136363636363,11.161499999999998,8.916875
6903059,94,22.018516666666667,59.95098,2021-12-20 00:00:00+00:00,574,,25.413,25.407833333333336,25.3633,25.33,25.286214285714287,23.68227272727273,22.630636363636363,22.171,21.061,20.06677777777778,16.977,13.65225,11.571260869565219,
6903060,114,24.77519833333333,58.27706166666667,2021-12-20 00:00:00+00:00,580,,25.609,25.636,25.61607692307692,25.567384615384615,25.49530769230769,25.337923076923076,23.372666666666667,22.613444444444443,21.960066666666666,23.729333333333333,18.41722222222222,14.03078947368421,11.662,
2902852,87,8.873,87.25,2021-12-21 00:00:00+00:00,114,,,28.5382,28.525088888888888,28.525,27.97373469387755,25.472142857142856,23.365345794392525,20.942607843137253,17.851318181818183,14.1074,11.736,9.948736842105262,8.682049999999998,6.691904761904762
6903008,115,24.19729833333333,63.67401666666667,2021-12-21 00:00:00+00:00,1003,,25.631222222222224,25.642,25.644,25.64323076923077,25.641333333333332,25.231250000000006,22.9146,22.0435,20.805555555555557,19.69511111111111,17.256999999999998,13.53957894736842,11.331238095238096,8.889588235294116
6903046,115,20.423396666666665,61.30941666666666,2021-12-21 00:00:00+00:00,1014,,25.531200000000002,25.485,25.359,25.347,25.339181818181817,23.639666666666667,21.233999999999998,19.97,19.4786,18.2045,15.3932,12.783285714285714,10.821285714285715,8.3655
6903058,115,20.47334833333333,59.87710666666667,2021-12-21 00:00:00+00:00,588,,25.562833333333334,25.435777777777776,25.416777777777778,25.433071428571427,25.55035714285714,24.142199999999995,22.617,21.326600000000003,20.438846153846153,19.33581818181818,17.24877777777778,13.6125,11.5945,
6903062,115,19.95716833333333,58.720635,2021-12-21 00:00:00+00:00,605,,25.5494,25.5236,25.503727272727275,25.553,25.556,25.5394,23.272266666666667,22.08975,21.933,19.53457142857143,17.221466666666668,13.462285714285715,11.514777777777777,
6903063,115,25.24271833333333,57.89388,2021-12-21 00:00:00+00:00,385,,25.692727272727275,25.6893,25.659454545454548,25.64727272727273,25.656833333333335,24.136,23.165,22.4036,21.557727272727274,22.0508,19.783,,,
2902265,106,16.453,71.319,2021-12-22 00:00:00+00:00,99,,28.107,28.106,27.621333333333332,26.017000000000003,23.7806,22.266,21.547,21.113,20.631555555555554,18.323166666666665,14.8885,12.46656,11.06484,8.90912
2902275,176,18.856527,68.227463,2021-12-22 00:00:00+00:00,987,,26.89758235294118,26.90059,26.902268316831684,26.84283134328358,27.66422549019608,23.414134170854272,23.104147549019608,21.669968656716417,20.368100000000002,17.493680597014926,14.646164039408868,12.946648768472906,11.20724595959596,8.891
6903007,116,19.480083333333333,60.634321666666665,2021-12-22 00:00:00+00:00,1011,,25.708,25.580583333333333,25.501384615384616,25.509222222222224,25.3476,23.3493,22.513083333333334,21.082,20.213,18.2635,15.303181818181818,13.071529411764706,11.305523809523809,8.79204761904762
6903059,95,22.045393333333333,60.117938333333335,2021-12-22 00:00:00+00:00,563,,25.33353846153846,25.281399999999998,25.2757,25.250636363636364,25.230700000000002,24.422,22.851,22.329615384615384,21.3524,18.735785714285715,16.979400000000002,13.419285714285714,11.328263157894737,
6903060,115,24.39280833333333,58.11426333333333,2021-12-22 00:00:00+00:00,585,,25.466333333333335,25.464,25.469,25.453,25.4225,25.4085,23.07918181818182,22.731,22.282,20.942333333333334,18.3146,14.054,11.895499999999998,
2902205,305,16.879,70.586,2021-12-23 00:00:00+00:00,879,,28.069473684210525,28.075,28.10242857142857,28.854,28.612650000000002,24.419,21.594,20.497,19.539,17.190964601769913,15.22370796460177,12.368,10.905,8.653
2902390,229,19.23854,61.20734,2021-12-23 00:00:00+00:00,603,,25.429,25.42596875,25.363156862745097,25.356,25.360367346938776,23.189836734693877,22.649729166666667,20.932734693877553,19.973450980392155,19.114,15.474,12.5724,11.349941176470589,8.9319
5905082,177,22.268,61.184,2021-12-23 00:00:00+00:00,35,,25.506999999999998,25.509,25.476,25.436109278350514,25.09720206185567,24.67356804123711,24.249934020618557,23.8263,23.402665979381442,22.555397938144328,20.8608618556701,17.47178969072165,14.082717525773194,9.020695390781563
6903008,116,24.375296666666667,63.699711666666666,2021-12-23 00:00:00+00:00,1000,,25.5546875,25.5552,25.5551,25.54490909090909,25.469416666666667,25.466571428571427,23.295,22.623,21.500454545454545,19.797,18.0668,13.716714285714286,11.54475,8.856272727272726
6903046,116,20.468815,61.18226666666666,2021-12-23 00:00:00+00:00,1011,,25.344250000000002,25.331636363636363,25.2179,25.203,25.200909090909093,22.811090909090908,21.321800000000003,20.203727272727274,19.42176923076923,18.212636363636364,15.145,12.66,10.795666666666666,8.419363636363636
6903058,116,20.193255,59.77818,2021-12-23 00:00:00+00:00,554,,25.4764,25.473000000000003,25.3295,25.324333333333335,24.295250000000003,22.548714285714286,22.14725,20.988,20.3815,19.606875,16.769636363636362,12.982739130434783,11.379666666666665,
6903062,116,19.66285833333333,58.54300166666667,2021-12-23 00:00:00+00:00,346,,25.668272727272726,25.582461538461537,25.5905,25.6208,25.5562,25.449818181818184,22.051142857142857,22.212,21.5108,20.502200000000002,17.02477777777778,,,
6903063,116,25.331991666666667,57.70330833333333,2021-12-23 00:00:00+00:00,362,,25.648333333333333,25.63446153846154,25.5916,25.594,25.590083333333332,25.554333333333332,23.2009,22.110999999999997,21.5332,22.43916666666667,19.81081818181818,,,
1901739,155,8.602,51.955,2021-12-24 00:00:00+00:00,994,,26.39204761904762,26.386,26.386,26.38304761904762,22.614,19.4345,18.419,16.8245,15.734,13.858,12.728,11.637,10.438,8.112
1901898,131,16.3018,55.7284,2021-12-24 00:00:00+00:00,54,,,,,25.182311475409836,25.147,20.113170212765954,18.377567567567567,17.948196078431373,16.976,16.32598514851485,13.814070707070707,12.579145129224653,10.874790322580646,8.58565815324165
2902263,234,16.267365,61.988013333333335,2021-12-24 00:00:00+00:00,340,,,26.309,26.261555555555557,26.249499999999998,26.225454545454546,24.307555555555556,22.823,22.413,20.78311111111111,18.375222222222224,14.968257425742575,12.683979591836735,11.03616,8.890657534246577
2902710,86,14.785,88.058,2021-12-24 00:00:00+00:00,113,,28.268266666666666,28.264439024390242,28.261,28.260583333333333,28.295450000000002,26.593444444444444,23.641102564102564,21.2575,19.113000000000003,14.62592105263158,11.672330275229358,9.966516129032259,8.528328282828282,6.628943661971831
2902765,70,11.877,82.244,2021-12-24 00:00:00+00:00,101,,28.176692307692306,28.16462962962963,28.185545454545455,28.188707865168542,25.963257425742572,22.226466019417476,18.73229896907216,15.932544642857142,14.423441176470588,13.346780898876403,11.856,10.102790322580644,8.677,6.861100806451613
5905083,177,11.694,68.697,2021-12-24 00:00:00+00:00,509,,28.094157894736842,28.1,28.031,28.021,26.268,22.6375,20.199,17.9135,16.091,14.66,12.799,11.301,10.163,8.040393939393939
5905085,177,11.445,69.816,2021-12-24 00:00:00+00:00,509,,28.281,28.277,28.283,28.264,26.599,21.6725,19.284,17.352,15.964,14.386,12.588,11.265,10.26,8.295995991983967
6903007,117,19.273891666666668,60.92118,2021-12-24 00:00:00+00:00,1001,,25.790545454545455,25.731,25.61875,25.602769230769233,25.464454545454544,23.084153846153846,22.8846,21.750571428571426,19.48,19.382333333333335,16.15533333333333,13.310411764705881,11.363857142857142,8.90205
6903059,96,22.13189333333333,60.321893333333335,2021-12-24 00:00:00+00:00,588,,25.6904,25.492272727272727,25.434214285714287,25.4161,25.133555555555557,24.15927272727273,23.496166666666664,22.881,22.2703,20.403000000000002,17.474090909090908,13.544571428571428,11.593333333333334,
6903060,116,24.05465333333333,58.14228833333333,2021-12-24 00:00:00+00:00,588,,25.435,25.434692307692305,25.375,25.3673,25.35918181818182,25.347727272727273,24.153,23.046,22.532999999999998,21.106,18.743,14.399727272727272,11.780684210526315,
2902209,196,7.376,50.193,2021-12-25 00:00:00+00:00,162,,,,,,,,,19.5467,17.38,14.463,13.493619047619047,,,
2902264,220,9.819298333333334,89.928,2021-12-25 00:00:00+00:00,340,,,28.64109090909091,28.65,28.666,28.762,28.676000000000002,27.432666666666666,23.368,20.255,15.4205,12.525232323232323,10.23394,8.61078,6.835124590163935
2902388,229,9.63281,64.9431,2021-12-25 00:00:00+00:00,514,,27.924925925925926,27.925677419354837,27.929,27.928,26.229,22.401531914893617,19.0768431372549,15.743603773584907,14.268,13.401254901960783,12.217,10.818442307692308,9.414980392156862,7.61552
2902758,62,16.933,90.314,2021-12-25 00:00:00+00:00,113,,,27.51496363636364,27.586410714285716,28.19920930232558,28.505875,26.905651162790697,25.03608910891089,21.135666666666665,19.087804347826086,14.91225,11.740319999999999,10.05894,8.670257425742575,6.7286517412935325
5905084,177,9.176,54.965,2021-12-25 00:00:00+00:00,509,,26.604578947368424,26.597,26.572,26.571,26.572,25.747857142857143,21.131,20.139,19.528,16.291,13.026,11.57,9.892,7.83959879032258
5905088,177,7.578,74.062,2021-12-25 00:00:00+00:00,509,,28.622875,28.633111111111113,28.596,28.517,28.552,28.386,27.134,22.567,20.256,16.868,12.805,10.788,9.305,7.084243027888446
5905089,177,11.281,71.414,2021-12-25 00:00:00+00:00,510,,28.5225,28.522,28.522,28.514,28.515,26.4725,22.019,19.1345,17.132,14.897,12.893,11.722,10.584,7.878355029585799
