latitude,longitude,date,platform_number,cycle_number,day_idx,lat_idx,lon_idx,pred_0m,pred_5m,pred_10m,pred_20m,pred_30m,pred_50m,pred_75m,pred_100m,pred_125m,pred_150m,pred_200m,pred_300m,pred_500m,pred_700m,pred_1000m,glorys_0m,glorys_5m,glorys_10m,glorys_20m,glorys_30m,glorys_50m,glorys_75m,glorys_100m,glorys_125m,glorys_150m,glorys_200m,glorys_300m,glorys_500m,glorys_700m,glorys_1000m,true_0m,true_5m,true_10m,true_20m,true_30m,true_50m,true_75m,true_100m,true_125m,true_150m,true_200m,true_300m,true_500m,true_700m,true_1000m
18.516666666666666,87.66666666666667,2021-01-04,2902236,259,4021,54,171,26.199217,26.20978,26.261408,26.571589,27.16474,27.997501,27.223099,26.102795,22.331602,19.814384,17.187819,11.935818,9.950308,9.154241,7.476296,25.79751,25.787989,25.782862,25.780663,26.931334,27.58101,27.108585,25.399792,20.123997,17.644672,15.502274,11.804163,10.106357,9.286752,7.583819,,25.586222222222226,25.59204918032787,25.72518947368421,26.261353535353532,27.20667346938776,27.3808431372549,24.93210185185185,21.365514285714283,18.2843125,14.548842424242425,12.009944444444445,10.345565737051793,8.95520717131474,7.079391304347826
11.534,70.09,2021-01-04,2902254,130,4021,26,100,28.622477,28.596727,28.59195,28.646145,28.749702,28.444527,25.874737,24.197752,19.854483,17.511425,15.644321,12.5599575,11.180383,10.546801,8.623794,28.615223,28.492905,28.477524,28.459944,28.45555,28.437239,25.604877,24.296732,19.447218,16.97815,15.011536,12.418683,11.205756,10.693777,9.11536,,28.587,28.563,28.55181818181818,28.546,28.3888,25.329,21.9655,18.91463636363636,16.2675,14.433941176470588,12.84572,11.30012,10.29624,8.218
18.690607,67.116989,2021-01-04,2902272,62,4021,55,88,26.062317,26.085361,26.093046,26.13557,26.303003,26.405136,24.557346,23.316519,20.801231,19.319414,17.82798,14.47861,12.250494,11.355609,9.474376,26.114658,26.114658,26.114658,26.114658,26.114658,26.114658,24.474716,23.624348,21.39552,19.922575,18.26725,13.966338,12.264137,11.642293,10.070467,,26.152359171597634,26.152189705882357,26.149395566502463,26.147494,26.14859702970297,24.44433316831683,22.87055051546392,20.67825,18.28304108910891,16.405502985074627,14.149829081632651,12.522541624365482,10.8613,8.778745544554456
18.426443,69.911774,2021-01-04,2902273,62,4021,54,100,27.495583,27.508831,27.512701,27.54528,27.70668,27.675764,26.130152,24.948683,22.092249,20.214846,18.15804,14.1934395,12.137912,11.284616,9.399105,27.53853,27.53853,27.53853,27.53853,27.537798,27.852749,24.996948,23.270576,19.620808,18.331705,17.476212,14.479781,12.6039915,11.90524,9.73281,,27.5221568627451,27.522072815533978,27.536,27.544019607843136,27.61668260869565,25.151985,21.030030150753767,18.92634482758621,18.7253567839196,16.180646464646465,14.285751243781094,12.768117073170732,11.332485148514852,9.005356435643565
18.501,91.939,2021-01-04,2902278,118,4021,54,188,26.28867,26.299007,26.435226,27.293455,28.465572,29.046299,27.147614,25.281584,20.129103,17.460005,15.142429,11.335143,9.677086,8.912774,7.274812,26.91229,26.89178,26.888119,29.157965,30.088167,29.712423,27.111515,25.01892,19.02533,16.647816,14.676077,11.351512,9.704978,8.82165,7.1817074,,27.202,27.252,28.75272727272727,29.740666666666662,29.076454545454546,27.344,24.02881818181818,20.234454545454547,17.320999999999998,13.64025,11.55832,10.03884,8.674520000000001,6.80144
8.295415,88.794151,2021-01-04,2902294,81,4021,13,175,28.65479,28.670668,28.674582,28.712915,28.828682,29.07494,28.798641,27.863253,22.867304,19.44155,16.504648,11.810671,9.654335,8.867114,7.1650796,28.735344,28.736076,28.735344,28.735344,28.735344,28.768303,27.621296,26.509445,22.021027,19.25312,16.534288,11.788049,9.677877,8.9176,7.1524096,,28.695298245614037,28.699,28.701,28.70400995024876,28.732948837209303,27.69132735426009,25.662627906976745,22.5735625,18.762000000000004,15.423529411764706,11.869781094527363,10.056059113300492,8.464,6.503970149253731
14.726,86.631,2021-01-04,2902768,34,4021,39,167,27.451384,27.450422,27.451948,27.512156,27.695744,28.043455,26.784079,25.2732,20.995602,18.417173,15.989663,11.682121,9.690392,8.905039,7.2853794,27.189886,27.187689,27.184027,27.176702,27.170843,27.163519,26.995056,25.06067,20.433088,18.059237,15.899991,11.427687,9.722556,9.04065,7.379467,,27.491,27.490736842105264,27.473919191919197,27.337892156862747,27.143571428571427,27.147413461538463,23.53753125,20.464791666666667,18.247545454545456,15.147105263157895,12.120774193548389,10.178272,8.82627091633466,6.985296442687747
12.364,90.248,2021-01-04,2902770,33,4021,29,181,28.242899,28.248615,28.249113,28.308342,28.48322,28.737043,27.556854,26.100443,21.4612,18.649286,16.005257,11.671308,9.6819315,8.916488,7.225132,28.092257,28.08713,28.079073,28.070284,28.08127,28.12595,27.23896,25.291391,21.010254,18.406416,15.929289,11.64449,9.586322,8.895627,7.285714,,28.329,28.289775862068964,28.27337894736842,28.269484848484847,28.26845631067961,26.48,24.00962962962963,20.636868686868688,18.357,14.419520710059173,11.707141732283464,9.986148,8.525458167330678,6.778226190476191
13.07,90.899,2021-01-04,2902772,33,4021,32,184,28.264727,28.2676,28.267485,28.338802,28.588223,28.956362,28.036837,26.647762,21.96145,18.984304,16.25111,11.732272,9.663402,8.905354,7.2522936,28.595448,28.588854,28.582262,28.574938,28.56981,28.589586,28.517075,26.556322,21.077639,18.30021,15.987152,11.914029,9.655171,8.758659,7.315012,,28.4279,28.40566071428572,28.38634615384615,28.38,28.406474226804125,28.51438834951456,25.725428571428573,23.029588785046727,19.55437113402062,14.681264705882352,11.774843621399176,9.931924302788843,8.645373493975903,6.826983870967743
5.4995,73.88722,2021-01-04,2903133,126,4021,2,116,28.614603,28.542936,28.55988,28.65769,28.830622,29.052683,28.170359,26.708221,20.712849,17.74284,15.4650755,11.997407,10.069045,9.183301,7.3252773,28.32371,28.315653,28.311258,28.311258,28.352276,28.731682,28.030731,26.409101,21.09888,18.043856,16.192236,11.718467,9.483779,8.796014,7.1150546,,28.293038461538465,28.29888,28.30096,28.266,28.724,27.634,25.087,20.389,18.63004,15.232,11.996,10.036,8.30870588235294,6.569423076923077
11.512758333333334,59.29959333333333,2021-01-04,6902947,270,4021,26,57,26.291899,26.329924,26.336409,26.392595,26.550472,26.581095,25.689434,24.79453,21.53596,19.1963,17.043293,13.250593,11.522104,10.854925,8.96559,26.351238,26.351238,26.351238,26.350506,26.347576,26.34318,24.649036,23.267647,20.430891,18.738945,17.274055,13.632343,11.815149,11.142034,9.047243,,25.934666666666665,25.944909090909093,25.94675,25.94653333333333,25.918615384615386,22.794444444444444,21.66133333333333,20.475,18.9104,15.724857142857145,13.97825,12.363809523809524,10.384608695652174,
12.436,60.651,2021-01-05,1901739,119,4022,30,63,26.17493,26.19729,26.196457,26.220438,26.325642,26.240845,24.58646,23.352514,19.878796,17.92125,16.30575,13.166296,11.56478,10.8948,9.0579195,26.061922,26.061922,26.061922,26.061922,26.06119,26.060457,23.756187,22.148472,19.378368,17.372936,15.81283,13.092532,11.667928,11.002136,8.987915,,25.964526315789477,25.969,25.98,25.982,25.986,25.880695652173912,20.521,18.95,17.436,15.372,13.55,11.691,10.675,8.344
